,Hard-U,Fe %,Cr %,Depth,Strikes/mm2,Static Force,Amplitude,Predict,Gradient
282,200.0,11.6,29.9,282.0,8571.4,50.0,50.0,284.44012,-0.26849365234375
283,200.0,11.6,29.9,283.0,8571.4,50.0,50.0,284.17233,-0.267791748046875
284,200.0,11.6,29.9,284.0,8571.4,50.0,50.0,283.90518,-0.26715087890625
285,200.0,11.6,29.9,285.0,8571.4,50.0,50.0,283.63873,-0.266448974609375
286,200.0,11.6,29.9,286.0,8571.4,50.0,50.0,283.37296,-0.265777587890625
287,200.0,11.6,29.9,287.0,8571.4,50.0,50.0,283.10785,-0.265106201171875
288,200.0,11.6,29.9,288.0,8571.4,50.0,50.0,282.84344,-0.264404296875
289,200.0,11.6,29.9,289.0,8571.4,50.0,50.0,282.57968,-0.263763427734375
290,200.0,11.6,29.9,290.0,8571.4,50.0,50.0,282.3166,-0.263092041015625
291,200.0,11.6,29.9,291.0,8571.4,50.0,50.0,282.0542,-0.26239013671875
292,200.0,11.6,29.9,292.0,8571.4,50.0,50.0,281.67123,-0.382965087890625
293,200.0,11.6,29.9,293.0,8571.4,50.0,50.0,281.2568,-0.4144287109375
294,200.0,11.6,29.9,294.0,8571.4,50.0,50.0,280.84406,-0.412750244140625
295,200.0,11.6,29.9,295.0,8571.4,50.0,50.0,280.43298,-0.41107177734375
296,200.0,11.6,29.9,296.0,8571.4,50.0,50.0,280.02365,-0.409332275390625
297,200.0,11.6,29.9,297.0,8571.4,50.0,50.0,279.616,-0.40765380859375
298,200.0,11.6,29.9,298.0,8571.4,50.0,50.0,279.21,-0.406005859375
299,200.0,11.6,29.9,299.0,8571.4,50.0,50.0,278.80573,-0.404266357421875
300,200.0,11.6,29.9,300.0,8571.4,50.0,50.0,278.40308,-0.40264892578125
301,200.0,11.6,29.9,301.0,8571.4,50.0,50.0,278.0021,-0.400970458984375
302,200.0,11.6,29.9,302.0,8571.4,50.0,50.0,277.60284,-0.399261474609375
303,200.0,11.6,29.9,303.0,8571.4,50.0,50.0,277.20526,-0.3975830078125
304,200.0,11.6,29.9,304.0,8571.4,50.0,50.0,276.80933,-0.39593505859375
305,200.0,11.6,29.9,305.0,8571.4,50.0,50.0,276.41504,-0.394287109375
306,200.0,11.6,29.9,306.0,8571.4,50.0,50.0,276.0224,-0.39263916015625
307,200.0,11.6,29.9,307.0,8571.4,50.0,50.0,275.63147,-0.39093017578125
